date,year,month,CRE_SW,CRE_LW,CRE_net
1996-11-01,1996,11,-47.46050366334629,26.302668150617762,-21.157835512728525
1996-12-01,1996,12,-48.584798649883595,25.7340165884753,-22.850782061408296
1997-01-01,1997,1,-48.75152143315273,25.40434258357959,-23.34717884957314
1997-02-01,1997,2,-46.57355768492462,24.652879802936866,-21.920677881987757
1997-03-01,1997,3,-44.202401030759745,25.193587833473998,-19.008813197285747
1997-04-01,1997,4,-42.51755826592549,25.733841292661566,-16.78371697326392
1997-05-01,1997,5,-41.474158230535664,26.10371046884893,-15.370447761686734
1997-06-01,1997,6,-41.76945228241166,25.383203255910132,-16.38624902650153
1997-07-01,1997,7,-43.53584824373638,25.28856143597278,-18.2472868077636
1997-08-01,1997,8,-45.03406891316351,25.609334785016983,-19.424734128146525
1997-09-01,1997,9,-44.81198044081222,25.322068812810528,-19.489911628001693
1997-10-01,1997,10,-46.74587367289524,26.08975531437278,-20.656118358522463
1997-11-01,1997,11,-46.40546508776862,25.400567999608313,-21.004897088160305
1997-12-01,1997,12,-49.121086502862454,25.6746025815479,-23.446483921314552
1998-01-01,1998,1,-50.32771528804412,25.56283130879234,-24.764883979251778
1998-02-01,1998,2,-49.072936366185644,25.43401454015418,-23.638921826031464
1998-03-01,1998,3,-46.52216613760646,25.93248500214014,-20.58968113546632
1998-04-01,1998,4,-43.540063941928594,25.57343088793624,-17.966633053992354
1998-05-01,1998,5,-42.26570987559134,25.774317428933955,-16.491392446657386
1998-06-01,1998,6,-43.93962304961957,25.869433005328176,-18.070190044291394
1998-07-01,1998,7,-44.52763127115924,25.566414564372735,-18.9612167067865
1998-08-01,1998,8,-45.28261669769353,25.58813000631244,-19.694486691381087
1998-09-01,1998,9,-47.825438788666105,26.783741096963695,-21.04169769170241
1998-10-01,1998,10,-46.68538175418294,25.917935396425833,-20.76744635775711
1998-11-01,1998,11,-48.88632601723231,25.65732237206049,-23.229003645171815
1998-12-01,1998,12,-51.18087400682299,25.996784203387392,-25.184089803435597
1999-01-01,1999,1,-50.23454190889993,25.21563300552043,-25.018908903379497
1999-02-01,1999,2,-47.92167513199874,24.941232383724014,-22.980442748274726
1999-03-01,1999,3,-44.0681079290857,24.707414357491757,-19.36069357159394
1999-04-01,1999,4,-42.45285385400683,25.588330225071502,-16.86452362893533
1999-05-01,1999,5,-41.99801916892946,26.056910978995973,-15.941108189933487
1999-06-01,1999,6,-42.06688619693807,25.335384755522796,-16.731501441415276
1999-07-01,1999,7,-45.561497777307835,26.06118978814453,-19.500307989163304
1999-08-01,1999,8,-46.10208418759541,26.010143343435118,-20.09194084416029
1999-09-01,1999,9,-47.098400830447446,26.464477327566215,-20.63392350288123
1999-10-01,1999,10,-48.273695351249955,26.752964847504472,-21.520730503745483
1999-11-01,1999,11,-48.89179561259965,26.444006920023753,-22.447788692575898
1999-12-01,1999,12,-51.3469308412819,26.52137706348941,-24.825553777792493
2000-01-01,2000,1,-50.44679178338987,26.016523108246076,-24.430268675143793
2000-02-01,2000,2,-48.456325487621285,25.414439241878426,-23.04188624574286
2000-03-01,2000,3,-44.57093475171672,25.416073831019617,-19.154860920697104
2000-04-01,2000,4,-42.727749818473,25.829084792429114,-16.898665026043886
2000-05-01,2000,5,-43.37037607608869,26.809656203957672,-16.560719872131017
2000-06-01,2000,6,-43.17728226367848,25.82611350805456,-17.351168755623917
2000-07-01,2000,7,-44.39176568704872,25.683365053825582,-18.708400633223135
2000-08-01,2000,8,-44.94260591675561,25.345876801991892,-19.59672911476372
2000-09-01,2000,9,-46.157308025138235,26.02214099822953,-20.135167026908704
2000-10-01,2000,10,-48.79287401373054,26.93674825229607,-21.85612576143447
2000-11-01,2000,11,-48.85946210786784,26.3218298319332,-22.53763227593464
2000-12-01,2000,12,-48.587456664533505,25.210098648247822,-23.377358016285683
2001-01-01,2001,1,-47.52649589492387,24.968824007445846,-22.557671887478023
2001-02-01,2001,2,-48.79750614157152,25.08449576596496,-23.713010375606558
2001-03-01,2001,3,-45.402086291378055,25.316037850921248,-20.086048440456807
2001-04-01,2001,4,-44.33883049080532,26.323820062142488,-18.015010428662833
2001-05-01,2001,5,-42.880800927079406,26.068660138117366,-16.81214078896204
2001-06-01,2001,6,-42.31214726702271,25.327079159376922,-16.985068107645787
2001-07-01,2001,7,-45.525971798512984,25.657681177722225,-19.86829062079076
2001-08-01,2001,8,-46.829984258891756,25.88721060690301,-20.942773651988745
2001-09-01,2001,9,-47.640539420947675,26.42963670430248,-21.210902716645194
2001-10-01,2001,10,-50.71609444577609,27.550204737416436,-23.165889708359657
2001-11-01,2001,11,-49.89168977695553,26.600554203784327,-23.291135573171204
2001-12-01,2001,12,-53.12795902824291,26.925320591501304,-26.20263843674161
2002-01-01,2002,1,-51.63097857011721,26.30576671421619,-25.325211855901017
2002-02-01,2002,2,-50.393438947843634,25.92384412365442,-24.469594824189215
2002-03-01,2002,3,-46.0878232737862,25.74758171944427,-20.34024155434193
2002-04-01,2002,4,-44.87106482163233,26.961845893267366,-17.909218928364965
2002-05-01,2002,5,-42.28448483857156,25.884640313001,-16.399844525570558
2002-06-01,2002,6,-43.78563766974642,25.894731287634443,-17.89090638211198
2002-07-01,2002,7,-45.59191400245845,25.490019487759014,-20.10189451469944
2002-08-01,2002,8,-47.3396526399373,26.057467582492905,-21.282185057444394
2002-09-01,2002,9,-46.67414047069738,25.94999274311857,-20.72414772757881
2002-10-01,2002,10,-46.31127394277917,25.91794258815952,-20.393331354619647
2002-11-01,2002,11,-49.43651037294629,26.516597511127145,-22.919912861819142
2002-12-01,2002,12,-51.67408975896677,26.546849707508727,-25.127240051458045
2003-01-01,2003,1,-50.6574259475226,25.974672888662667,-24.68275305885993
2003-02-01,2003,2,-48.89586997945793,25.602082263506304,-23.293787715951623
2003-03-01,2003,3,-45.27304200872234,25.61316802307374,-19.659873985648602
2003-04-01,2003,4,-44.26872024463401,26.277787511426936,-17.990932733207075
2003-05-01,2003,5,-42.95729501299405,26.172739234356754,-16.784555778637298
2003-06-01,2003,6,-43.32124635893345,25.568651974792715,-17.752594384140735
2003-07-01,2003,7,-44.30445064084748,25.25776445592777,-19.046686184919707
2003-08-01,2003,8,-46.067024376208565,25.955291445043372,-20.111732931165193
2003-09-01,2003,9,-46.84043178874589,26.471106098087546,-20.369325690658343
2003-10-01,2003,10,-48.976615729041896,26.836717396644303,-22.139898332397593
2003-11-01,2003,11,-49.998103306702006,26.961879003055003,-23.036224303647003
2003-12-01,2003,12,-51.25914477756325,26.555175826903167,-24.703968950660084
2004-01-01,2004,1,-51.5993543146038,26.06373102392888,-25.53562329067492
2004-02-01,2004,2,-47.751608394812905,24.99383345564587,-22.757774939167035
2004-03-01,2004,3,-46.525184676669,25.846131509583813,-20.679053167085186
2004-04-01,2004,4,-43.154185556420174,25.631390876537694,-17.52279467988248
2004-05-01,2004,5,-43.92239575753712,26.267546419037103,-17.654849338500014
2004-06-01,2004,6,-45.06293374154109,26.334720598625154,-18.728213142915934
2004-07-01,2004,7,-44.239982543421405,25.81917290023796,-18.420809643183446
2004-08-01,2004,8,-47.00106566531758,26.290050920470037,-20.711014744847546
2004-09-01,2004,9,-47.540914559171966,26.719147180211678,-20.82176737896029
2004-10-01,2004,10,-49.784012515659555,27.246317304812806,-22.53769521084675
2004-11-01,2004,11,-51.294819191608326,27.452231769919763,-23.842587421688563
2004-12-01,2004,12,-51.71600105078949,26.832951927212036,-24.88304912357745
2005-01-01,2005,1,-50.851234467611874,26.22361837653483,-24.627616091077044
2005-02-01,2005,2,-50.03417220801737,26.05065326464694,-23.983518943370427
2005-03-01,2005,3,-46.45167526779426,25.884877297972253,-20.566797969822005
2005-04-01,2005,4,-44.16406799721031,26.0023105583104,-18.16175743889991
2005-05-01,2005,5,-42.74101517034816,26.005432161505155,-16.735583008843008
2005-06-01,2005,6,-45.44854499042481,26.454236434475433,-18.994308555949374
2005-07-01,2005,7,-45.62322700691715,25.664288992845854,-19.958938014071293
2005-08-01,2005,8,-47.595664786767514,26.201329472081113,-21.3943353146864
2005-09-01,2005,9,-48.82173531250422,26.611760407572945,-22.209974904931272
2005-10-01,2005,10,-49.72750267800859,27.24219392272113,-22.485308755287463
2005-11-01,2005,11,-51.38062165954747,27.18931944387225,-24.191302215675222
2005-12-01,2005,12,-50.59470277426752,25.968052736023253,-24.626650038244264
2006-01-01,2006,1,-51.536472192058795,25.9916555826656,-25.544816609393195
2006-02-01,2006,2,-50.17295007922661,26.021234730341007,-24.151715348885602
2006-03-01,2006,3,-46.220566293958,25.874696324574984,-20.345869969383017
2006-04-01,2006,4,-44.041890538840335,25.965024507657517,-18.076866031182817
2006-05-01,2006,5,-42.79009946339332,26.288850894233235,-16.501248569160083
2006-06-01,2006,6,-44.23811076774493,25.85620835842775,-18.381902409317178
2006-07-01,2006,7,-46.63202497921225,25.973258668864787,-20.65876631034746
2006-08-01,2006,8,-47.731238936382056,25.923980185961398,-21.807258750420658
2006-09-01,2006,9,-47.88134994842025,26.308425447675745,-21.572924500744506
2006-10-01,2006,10,-51.20733869761344,27.519404425529842,-23.687934272083595
2006-11-01,2006,11,-50.657707882435005,27.25406837381945,-23.403639508615555
2006-12-01,2006,12,-52.30894787409369,26.810319519653717,-25.498628354439973
