var,lambda,log_lambda,coef
PWAT,1.2666232639988229,0.2363545122130756,0.0
PWAT,1.3581586086216662,0.3061298180613801,0.0
PWAT,1.456308958316159,0.375905123909684,0.0
APCP,0.0014563089583161596,-6.531850155072453,-1.2912407062002325
APCP,0.001561552361122416,-6.462074849224148,-1.2909371056855392
APCP,0.001674401412284394,-6.392299543375844,-1.2906105294781856
APCP,0.001795405750880349,-6.3225242375275394,-1.2903564756830592
APCP,0.00192515473687783,-6.2527489316792355,-1.2900946035701562
APCP,0.0020642803216520053,-6.182973625830931,-1.2897922122479166
APCP,0.002213460125948372,-6.113198319982627,-1.2894089911454767
APCP,0.002373420740281281,-6.043423014134322,-1.289001252668378
APCP,0.002544941263843094,-5.973647708286018,-1.2885658355662377
APCP,0.0027288570991604753,-5.903872402437713,-1.2881008471452082
APCP,0.0029260640209799547,-5.834097096589408,-1.2876212531790794
APCP,0.0031375225392005317,-5.7643217907411035,-1.2880782862441995
APCP,0.0033642625771033293,-5.6945464848928,-1.2883316729534315
APCP,0.0036073884876638776,-5.624771179044495,-1.288715270111428
APCP,0.003868084432379367,-5.554995873196191,-1.2891717911855338
APCP,0.0041476201488088015,-5.485220567347886,-1.2896579255666356
APCP,0.004447357134917257,-5.415445261499582,-1.2901779634594939
APCP,0.004768755280345517,-5.345669955651277,-1.2907332646144598
APCP,0.005113379976903147,-5.275894649802973,-1.29130230590264
APCP,0.005482909742917148,-5.206119343954669,-1.2919569139777067
APCP,0.005879144398571105,-5.1363440381063645,-1.2926585607812229
APCP,0.006304013832053391,-5.066568732258061,-1.2934093279127203
APCP,0.006759587399210549,-4.996793426409755,-1.294216829349719
APCP,0.007248084002487481,-4.92701812056145,-1.2950860446096573
APCP,0.007771882898244715,-4.857242814713146,-1.295847680688991
APCP,0.008333535285090399,-4.787467508864842,-1.2963215748111658
APCP,0.008935776729668889,-4.717692203016537,-1.2964130529182167
APCP,0.00958154049042655,-4.647916897168233,-1.2953367713609139
APCP,0.010273971804249106,-4.578141591319929,-1.292530290417819
APCP,0.011016443205554576,-4.508366285471625,-1.2895146537042532
APCP,0.011812570952454506,-4.43859097962332,-1.2862768903749398
APCP,0.01266623263998823,-4.368815673775016,-1.2827884853700224
APCP,0.01358158608621666,-4.299040367926711,-1.27908430740775
APCP,0.014563089583161597,-4.229265062078407,-1.2750837600442346
APCP,0.015615523611224159,-4.159489756230102,-1.270799499494621
APCP,0.016744014122843938,-4.089714450381798,-1.2662415733375836
APCP,0.017954057508803488,-4.0199391445334935,-1.2613225792827683
APCP,0.01925154736877831,-3.950163838685189,-1.2560510226111852
APCP,0.020642803216520064,-3.880388532836885,-1.2503998242707817
APCP,0.022134601259483733,-3.8106132269885804,-1.2446026819877594
APCP,0.02373420740281282,-3.740837921140276,-1.2386553062240848
APCP,0.02544941263843095,-3.6710626152919716,-1.2322528122491263
APCP,0.027288570991604765,-3.6012873094436673,-1.2254230235101524
APCP,0.02926064020979953,-3.531512003595363,-1.218966804484556
APCP,0.03137522539200532,-3.461736697747058,-1.2134143586142754
APCP,0.033642625771033295,-3.3919613918987537,-1.2077012290712295
APCP,0.036073884876638776,-3.3221860860504493,-1.201578030229052
APCP,0.03868084432379367,-3.252410780202145,-1.1949670998283988
APCP,0.04147620148808802,-3.1826354743538405,-1.1878660231236866
APCP,0.04447357134917257,-3.112860168505536,-1.1802420568965228
APCP,0.04768755280345517,-3.0430848626572318,-1.1720667238008764
APCP,0.05113379976903147,-2.973309556808928,-1.1632860045689406
APCP,0.05482909742917148,-2.903534250960623,-1.1573312678082313
APCP,0.05879144398571109,-2.833758945112318,-1.151614165620284
APCP,0.06304013832053394,-2.7639836392640142,-1.1445759650024419
APCP,0.06759587399210545,-2.69420833341571,-1.135822643479489
APCP,0.07248084002487477,-2.624433027567405,-1.126436696826056
APCP,0.07771882898244711,-2.554657721719101,-1.1163776741673674
APCP,0.08333535285090395,-2.4848824158707967,-1.1055885107819086
APCP,0.08935776729668884,-2.4151071100224923,-1.093910794937183
APCP,0.0958154049042655,-2.3453318041741875,-1.0813140604835254
APCP,0.10273971804249106,-2.275556498325883,-1.066898912866276
APCP,0.11016443205554577,-2.2057811924775788,-1.0514079847315634
